date,user,location,text
2023-03-07 22:04:48+00:00,MaureenDefries,,RT @MediwasteP: hpcsa #wastedisposal #packaging #medical #healthfacilities #wastemanagement #environmentza#bftservices#covid19#vaccine#chem…
2023-03-07 22:02:46+00:00,MediwasteP,"56 Mopedi Road,Sebenza,",hpcsa #wastedisposal #packaging #medical #healthfacilities #wastemanagement #environmentza#bftservices#covid19#vacc… https://t.co/bITGaECV3A
2023-03-07 22:01:42+00:00,deanna_hodson,PNW,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 22:00:30+00:00,Liznononsense,"Tucson, AZ",RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 21:56:23+00:00,SnpRakesh,,"RT @Kaushal01833606: Non Vaccinatated People are the best protected ever!! Take a vow, No More means No more!

#unvaccinated #VaccineSideEf…"
2023-03-07 21:56:15+00:00,ne55492134,,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 21:53:24+00:00,TrasElValle_OBC,Lee aquí 👇🏼 el último TEVDA,"RT @TrasElValle_OBC: ""#PedaZitosDeVuelta (III)"" con #RaquelEspuelas:

https://t.co/PJs6oBZWWK

#EstadoDeAlarma #FinToqueDeQueda #Covid19 #C…"
2023-03-07 21:52:51+00:00,MediateOnesLife,#The3rdChair (when possible),"#COVID19 #Masks
https://t.co/OFHHx7IVIE

Mask efficacy discussed at 14 minute mark...

Watch ""#COVID-19 Three Years… https://t.co/3EHbjwcauJ"
2023-03-07 21:52:42+00:00,HateTheMachine,The Universe 🐭,BBC Doc on the making of the Covid19 vaccine with the  HIV glycoprotein 120 https://t.co/Xj5wibImYJ
2023-03-07 21:52:22+00:00,TrasElValle_OBC,Lee aquí 👇🏼 el último TEVDA,"RT @TrasElValle_OBC: ""En 'stand-by(e)'"" (#TEVDAdeVerano):

https://t.co/VX3ucLi3jf

#EstadoDeAlarma #ToqueDeQueda #Mascarilla #Covid19 #Cov…"
2023-03-07 21:50:54+00:00,SignalsWorld,"Antwerp, Belgium","https://t.co/MDYjBiDs1f 
Targeted, harmful batches of vaccines have been sent to republican areas
#news #usa… https://t.co/gEJ3YlRt3R"
2023-03-07 21:50:48+00:00,spaghettijimmy,,RT @backtolife_2023: Mother expresses relief after children receive Covid19 vaccine https://t.co/idO3vG4MOu
2023-03-07 21:45:41+00:00,TRUTHSEEKERS111,,RT @TRUTHSEEKERS111: How much power do drug companies have over Congressional members and media companies?  Are they bought off by Big Phar…
2023-03-07 21:44:48+00:00,TRUTHSEEKERS111,,"RT @TRUTHSEEKERS111: Mayo Clinic: Pfizer Vaccine Only 42% Effective Against Delta. #COVID19 

https://t.co/gAVSY0lESx"
2023-03-07 21:43:11+00:00,GumpMag,,"Protect yourself and your loved ones by getting your COVID-19 booster or vaccine. To find a vaccine near you, visit… https://t.co/qyF6XiEAI0"
2023-03-07 21:42:52+00:00,SusanUs42932351,,"RT @SunderlandLolly: ""Covid spring booster vaccine roll-out confirmed - only for over 75s &amp; vulnerable"".
If there are enough vaccines, why…"
2023-03-07 21:40:19+00:00,DaddyDiamonds69,,@afcstuff The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hours. It… https://t.co/KTLB8aWZ6b
2023-03-07 21:39:32+00:00,ChiefRyanMFDPFD,,"RT @SMDhealthunit: Get on the #GOVAXX (March 8th)

🚌 at the Penetanguishene Fire Hall ⏱ 11 am - 5 pm 

COVID19 Vaccine doses 1&amp;2 for 5-11yr…"
2023-03-07 21:39:32+00:00,ScottZPinkRose,Texan who lives in MN,RT @DrIanWeissman: A prominent group of nurses slammed a state plan to rollback masking and #COVID19 vaccine requirements in health care se…
2023-03-07 21:38:57+00:00,DaddyDiamonds69,,@MonicaGandhi9 The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hours… https://t.co/wUjueKTLbD
2023-03-07 21:37:52+00:00,DaddyDiamonds69,,@RWMaloneMD The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hours. I… https://t.co/yhUA8kqSap
2023-03-07 21:37:21+00:00,DaddyDiamonds69,,@PATBR0DY The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hours. It… https://t.co/ymixNZacDx
2023-03-07 21:36:38+00:00,DaddyDiamonds69,,@TrueNorthCentre The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hou… https://t.co/F0QsQROWjD
2023-03-07 21:36:09+00:00,DaddyDiamonds69,,@imUrB00gieman The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hours… https://t.co/d2zLXygBz1
2023-03-07 21:35:51+00:00,DaddyDiamonds69,,@ZelenkoZev The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hours. I… https://t.co/E0GvYU6gkj
2023-03-07 21:35:17+00:00,DaddyDiamonds69,,@DschlopesIsBack The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hou… https://t.co/lCQjtEivTp
2023-03-07 21:33:45+00:00,CounsellingSam,"South West, England","RT @SunderlandLolly: ""Covid spring booster vaccine roll-out confirmed - only for over 75s &amp; vulnerable"".
If there are enough vaccines, why…"
2023-03-07 21:33:38+00:00,ResAustralia,"Sydney, New South Wales",RT @MCRI_for_kids: Murdoch Children's Research Institute is seeking 600 participants in #Victoria for a #trial exploring the long-term #imm…
2023-03-07 21:33:27+00:00,endofbellcurve,"England, United Kingdom","RT @SunderlandLolly: ""Covid spring booster vaccine roll-out confirmed - only for over 75s &amp; vulnerable"".
If there are enough vaccines, why…"
2023-03-07 21:33:19+00:00,DaddyDiamonds69,,@KanekoaTheGreat The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hou… https://t.co/vydzXm1sbd
2023-03-07 21:31:37+00:00,msmousse1,Plague Island,"RT @SunderlandLolly: ""Covid spring booster vaccine roll-out confirmed - only for over 75s &amp; vulnerable"".
If there are enough vaccines, why…"
2023-03-07 21:31:27+00:00,DaddyDiamonds69,,@BigChief4114 The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hours.… https://t.co/3Pe1Gan10q
2023-03-07 21:31:19+00:00,speirs_cathy,Wisconsin ,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 21:31:03+00:00,DaddyDiamonds69,,@UngaTheGreat The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hours.… https://t.co/GGdaezar1i
2023-03-07 21:30:19+00:00,Saffiya_Khan1,,"RT @SunderlandLolly: ""Covid spring booster vaccine roll-out confirmed - only for over 75s &amp; vulnerable"".
If there are enough vaccines, why…"
2023-03-07 21:28:36+00:00,Lonewolf334733,United States,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 21:26:40+00:00,DaddyDiamonds69,,@TexasLindsay_ The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hours… https://t.co/UfYke1HNBt
2023-03-07 21:26:16+00:00,DaddyDiamonds69,,@IamBrookJackson @US_FDA @RouxAugusto The Data is Clear and overwhelming. The Covid vaccine has killed thousands wi… https://t.co/Yu7W94Fgv2
2023-03-07 21:26:03+00:00,SNHDinfo,"Las Vegas, Nevada",Protect yourself and your family from more than the wild Las Vegas weather. Get your updated COVID-19 vaccine today… https://t.co/TWC1VtM9Lo
2023-03-07 21:25:54+00:00,xoxotheRose,,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 21:25:48+00:00,DaddyDiamonds69,,@goddeketal @moderna_tx The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first… https://t.co/RjfW98AMwx
2023-03-07 21:25:23+00:00,DaddyDiamonds69,,@canindependent The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hour… https://t.co/6uZEc6u94C
2023-03-07 21:24:50+00:00,DaddyDiamonds69,,@VigilantFox @barnes_law The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the firs… https://t.co/B7umKNSTNi
2023-03-07 21:24:15+00:00,DaddyDiamonds69,,@laralogan The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hours. It… https://t.co/RI7Am6JSXY
2023-03-07 21:23:42+00:00,DaddyDiamonds69,,@RealAndyLeeShow The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hou… https://t.co/1rDV6045Ms
2023-03-07 21:23:10+00:00,hotperedo,,Never in Vaccine history have 57 leading scientists and policy experts released a report questioning the safety and… https://t.co/YzdVtLOf7i
2023-03-07 21:23:04+00:00,DaddyDiamonds69,,@VacSafety The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hours. It… https://t.co/LIlvPr9SvX
2023-03-07 21:22:12+00:00,ncdhhs,"Raleigh, NC","#COVID19 cases continue to rise and fall. It's important to keep track of all health information, from a health car… https://t.co/HSkBPt5e2b"
2023-03-07 21:21:48+00:00,DaddyDiamonds69,,@RepThomasMassie The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hou… https://t.co/8WfJVGx48G
2023-03-07 21:21:22+00:00,DaddyDiamonds69,,@RepMTG @COVIDSelect The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48… https://t.co/bYYfPTIlR3
2023-03-07 21:20:51+00:00,DaddyDiamonds69,,@P_McCulloughMD @HouseGOP @SenateFloor @NIH @NIAIDNews @DanNewsManBall @OANN The Data is Clear and overwhelming. Th… https://t.co/mLrJirWXkE
2023-03-07 21:20:26+00:00,Elizabeth0821ai,Canada,"RT @TOPublicHealth: If your child had #COVID19, it's still recommended they get the vaccine for stronger protection!

Starting March 9, the…"
2023-03-07 21:20:25+00:00,DaddyDiamonds69,,@Bret_Sears The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hours. I… https://t.co/3SdymGdWRC
2023-03-07 21:20:20+00:00,caroleevans,Ipswich,RT @DrEricDing: ⚠️CONSEQUENCES OF MISLEADING PARENTS that “Kids are practically immune”—Many parents were dishonest about their children ha…
2023-03-07 21:19:55+00:00,DaddyDiamonds69,,@MichaelPSenger The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hour… https://t.co/24pRPiRsTj
2023-03-07 21:19:13+00:00,DaddyDiamonds69,,@margabult @DissidentNl The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first… https://t.co/HBrJ75stw7
2023-03-07 21:18:32+00:00,DaddyDiamonds69,,@Rob_DeLaMadera @MinPres @hugodejonge The Data is Clear and overwhelming. The Covid vaccine has killed thousands wi… https://t.co/iquhWxIHnH
2023-03-07 21:17:24+00:00,DaddyDiamonds69,,@deSunShineBand The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hour… https://t.co/yaaHedWZit
2023-03-07 21:16:54+00:00,DaddyDiamonds69,,@CP24 The Data is Clear and overwhelming. The Covid vaccine has killed thousands within the first 48 hours. It is k… https://t.co/pGj9Wpz4UQ
2023-03-07 21:13:28+00:00,politicgem,Surrey UK,"RT @SunderlandLolly: ""Covid spring booster vaccine roll-out confirmed - only for over 75s &amp; vulnerable"".
If there are enough vaccines, why…"
2023-03-07 21:12:27+00:00,kasiamalami11,,RT @backtolife_2023: Mother expresses relief after children receive Covid19 vaccine https://t.co/idO3vG4MOu
2023-03-07 21:10:40+00:00,MiamiDadeMso,"Miami Dade, FL",RT @DrEricDing: ⚠️CONSEQUENCES OF MISLEADING PARENTS that “Kids are practically immune”—Many parents were dishonest about their children ha…
2023-03-07 21:09:43+00:00,npeimbert,United States,Great insights by @gavi @GaviSeth on the lessons learned around vaccine equity + development capacity during the… https://t.co/kDHUC3EgoA
2023-03-07 21:08:14+00:00,GinsbergHarold,Northern Mariana Islands,"RT @real_GGoswami: In this e-mail chain, Dept. reached out to .@facebook flagging a Facebook group where members shared their #COVID19 vacc…"
2023-03-07 21:07:41+00:00,KiwiCraig74,"Auckland, New Zealand","@Mettle2C @NZStuff Deaths from COVID. 
Explain how this is not correct (it would need to be if all the actual exces… https://t.co/WrcNYXKmZr"
2023-03-07 21:07:40+00:00,IDinChildren,"Thorofare, NJ",A longer interval between doses of COVID-19 vaccine in children aged 5 to 11 years was associated with higher effec… https://t.co/u1zwhs5nDr
2023-03-07 21:06:55+00:00,1800golfer,United States,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 21:02:06+00:00,manin_mo,,"RT @adamfeuerstein: FANTASTIC BREAKING NEWS: #Covid19 vaccine from Pfizer and BioNTech is strongly effective, early data from large trial i…"
2023-03-07 21:00:10+00:00,Anhaga9,,"RT @CFA_United: The CSU intends to lift the #COVID19 vaccine mandate for students, staff, and faculty. Faculty are encouraged to seek accom…"
2023-03-07 20:58:21+00:00,DCubler,phila,RT @DrEricDing: ⚠️CONSEQUENCES OF MISLEADING PARENTS that “Kids are practically immune”—Many parents were dishonest about their children ha…
2023-03-07 20:57:57+00:00,HashtagFax,,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 20:55:08+00:00,SunderlandLolly,"Sunderland, Plague Island","RT @SunderlandLolly: ""Covid spring booster vaccine roll-out confirmed - only for over 75s &amp; vulnerable"".
If there are enough vaccines, why…"
2023-03-07 20:55:02+00:00,cityoftoronto,Toronto ON Canada,"RT @TOPublicHealth: If your child had #COVID19, it's still recommended they get the vaccine for stronger protection!

Starting March 9, the…"
2023-03-07 20:52:53+00:00,benajamiboy,,RT @backtolife_2023: Mother expresses relief after children receive Covid19 vaccine https://t.co/idO3vG4MOu
2023-03-07 20:52:22+00:00,gumby4christ,STL,"Totura works in BARDA's Division of Nonclinical Development, which pumped ~$1 billion into pharma companies develop… https://t.co/nevkA8Jmpv"
2023-03-07 20:51:06+00:00,AZDHS,Arizona,"#DidYouKnow The COVID-19 bivalent booster is recommended for everyone ages 6 months and older? 

Ensure your child… https://t.co/O6SJ7FkVyj"
2023-03-07 20:50:50+00:00,SurfsBri,,"RT @RouxAugusto: On 05/27/2021, The Committee of Buenos Aires City, Capital of Argentina, revoked the license of Military Hospital Committe…"
2023-03-07 20:50:34+00:00,ChristineCeili,Dublin,"RT @susanmsmith: This is one of the key lessons of the #COVID19 pandemic - vaccine risks were socialised but profits were not
@AccessToMeds…"
2023-03-07 20:49:24+00:00,9Esuzi,,"RT @cotupacs: Imagine if we lived in a democracy where we could DEBATE fairly the risk benefit analysis of this kind offer?

Before the Gov…"
2023-03-07 20:47:59+00:00,mandelorean,CANADA,"@NeuroBlazeJP @Moosepiss1 @HuntersLaptop24 @thevivafrei @JustinTrudeau @DiedSuddenly_ ""blood clots, myocarditis and… https://t.co/8iQ6Il55Ys"
2023-03-07 20:47:52+00:00,deepend_ireland,Ireland,"RT @susanmsmith: This is one of the key lessons of the #COVID19 pandemic - vaccine risks were socialised but profits were not
@AccessToMeds…"
2023-03-07 20:47:31+00:00,susanmsmith,Dublin,This is one of the key lessons of the #COVID19 pandemic - vaccine risks were socialised but profits were not… https://t.co/GtdISvqh3v
2023-03-07 20:47:23+00:00,BrianMaynard32,Muskville,"RT @ccleighton: Hospitalization rates demonstrate Canada is still in a crisis whether we call it a pandemic or endemic #COVID19.

Pls expla…"
2023-03-07 20:46:57+00:00,nancygisselle2,,"RT @adamfeuerstein: FANTASTIC BREAKING NEWS: #Covid19 vaccine from Pfizer and BioNTech is strongly effective, early data from large trial i…"
2023-03-07 20:46:48+00:00,hanouf_rawdhan,,RT @DrEricDing: ⚠️CONSEQUENCES OF MISLEADING PARENTS that “Kids are practically immune”—Many parents were dishonest about their children ha…
2023-03-06 15:34:48+00:00,HoustonHealth,"Houston, TX","#Houston's 14-day average #COVID19 positivity rate is 9.8%, and the wastewater virus load is 272% of the baseline,… https://t.co/G6wpbNTHB4"
2023-03-06 15:34:22+00:00,physioRock,,RT @PharmacistMama: Happy Monday - just here to remind you that @fordnation took nearly all the $$ paid to #CommunityPharmacies during the…
2023-03-06 15:32:58+00:00,Llmm2222Keith,"New River, AZ",RT @RenzTom: This is critical. We need Nuremberg2 NOW. Defendants should include #Pfizer #Moderna the other #COVID19 #vaccine manufacturers…
2023-03-06 15:32:30+00:00,EliRetamoza,,RT @RenzTom: This is critical. We need Nuremberg2 NOW. Defendants should include #Pfizer #Moderna the other #COVID19 #vaccine manufacturers…
2023-03-06 15:32:10+00:00,CostasAgrios,,RT @NatureMedicine: Neutralizing #antibody titers elicited by either ancestral or bivalent #COVID19 #vaccine boosters are predicted to incr…
2023-03-06 15:30:55+00:00,JJNicholl,Canada,"RT @barnes_law: Pfizer vaccine contract required they deliver a safe, effective vaccine ""for the prevention of Covid19"". Contract required…"
2023-03-06 15:28:51+00:00,TMFoSo,"Bruce County, Ontario, Canada",RT @PharmacistMama: Happy Monday - just here to remind you that @fordnation took nearly all the $$ paid to #CommunityPharmacies during the…
2023-03-06 15:26:05+00:00,DrKateJMiller,"Guelph, Ontario",RT @PharmacistMama: Happy Monday - just here to remind you that @fordnation took nearly all the $$ paid to #CommunityPharmacies during the…
2023-03-06 15:25:39+00:00,Marykeystone,,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-06 15:25:32+00:00,PharmacistMama,"Bruce County, Ontario, Canada",Happy Monday - just here to remind you that @fordnation took nearly all the $$ paid to #CommunityPharmacies during… https://t.co/tfOzRBiREc
2023-03-06 15:25:23+00:00,JuhaniValisalo,,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-06 15:23:30+00:00,grant_albert,"New Jersey, USA",RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-06 15:22:06+00:00,JJ3000,,RT @RenzTom: This is critical. We need Nuremberg2 NOW. Defendants should include #Pfizer #Moderna the other #COVID19 #vaccine manufacturers…
2023-03-06 15:21:40+00:00,trusty_ramona,"Tennessee, USA",RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-06 15:21:20+00:00,jawun1955,Joinville - SC - Brasil,"Tennis pro Novak Djokovic will not compete at the #IndianWells Open in California for a 3rd consecutive year.

Djok… https://t.co/ldM6Gsatfu"
2023-03-06 15:17:57+00:00,DigestMB,Manipal ,Step By Step Guide to Download Covid Vaccine Certificate From Cowin https://t.co/5rA4TNn6VO #Cowin #COVID #Covid19… https://t.co/LK46qOk9d4
2023-03-06 15:17:54+00:00,WokeTheJoke,,"Enough said!
Join my mail list. Win a useless mask. https://t.co/SdWLg15wx2… #Covid #COVID19 #WuhanLabLeak #vaccine… https://t.co/GAeiWvVDQe"
2023-03-06 15:17:40+00:00,realtoddamerica,,"Enough said!
Join my mail list. Win a useless mask. https://t.co/kCaf9Pzqd9… #Covid #COVID19 #WuhanLabLeak #vaccine… https://t.co/HPPzDr7WLp"
2023-03-06 15:17:37+00:00,bigcountryo,,"RT @barnes_law: Pfizer vaccine contract required they deliver a safe, effective vaccine ""for the prevention of Covid19"". Contract required…"
2023-03-06 15:17:25+00:00,aksinhaster,India,"RT @DDNewslive: #IndianWellsTournament | World No. 1 Tennis Player, @DjokerNole withdraws from the draw for the #IndianWells tournament.

T…"
2023-03-06 15:16:53+00:00,truth_campaign,,"RT @truth_campaign: Imagine if vaccinated people wouldn't be safe around unvaccinated people. That's not a vaccine I'd want.

#COVIDisAirbo…"
2023-03-06 15:13:58+00:00,jlucas720,,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-06 15:11:30+00:00,AJ_Alarid,USA,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-06 15:11:27+00:00,politiwars,America,RT @RenzTom: This is critical. We need Nuremberg2 NOW. Defendants should include #Pfizer #Moderna the other #COVID19 #vaccine manufacturers…
2023-03-06 15:09:09+00:00,NeverCNNEtal1,,"RT @wenfeng2020: Bus driver’s sudden death in Chengdu Communism China on 5 March 2023.

#SuddenDeath 
Blame #COVID19 #vaccine 
#CCP must be…"
2023-03-06 15:07:13+00:00,pathgirleepro,,"RT @aravindmc: My latest Substack article:

Why all research papers about #vaers are wrong and understate COVID19 vaccine dangers because t…"
2023-03-06 15:06:49+00:00,GetTodd,"St. Louis, MO","Enough said!
Join my mail list. Win a useless mask. https://t.co/2Jav0dxsPz #Covid #COVID19 #WuhanLabLeak #vaccine… https://t.co/cK4854eM4R"
2023-03-06 15:06:15+00:00,maomi28,,"RT @wenfeng2020: Bus driver’s sudden death in Chengdu Communism China on 5 March 2023.

#SuddenDeath 
Blame #COVID19 #vaccine 
#CCP must be…"
2023-03-06 15:05:57+00:00,RobertM59039892,"Caldwell, Idaho",RT @RenzTom: This is critical. We need Nuremberg2 NOW. Defendants should include #Pfizer #Moderna the other #COVID19 #vaccine manufacturers…
2023-03-06 15:01:17+00:00,FrancoisModave,"Gainesville, FL",@DSS123 @juicemaster Replace COVID19 with smallpox pandemic and vaccine  and see who they decide to hang out with...
2023-03-06 15:01:14+00:00,CoinopTech,,"RT @barnes_law: Pfizer vaccine contract required they deliver a safe, effective vaccine ""for the prevention of Covid19"". Contract required…"
2023-03-06 15:00:03+00:00,ManxCare,,The Covid Vaccination Service on the Island are operating a smaller scale vaccine offer in March to ensure those el… https://t.co/CZ9pXzqJ2r
2023-03-06 14:58:17+00:00,WarrenBowden99,,RT @RenzTom: This is critical. We need Nuremberg2 NOW. Defendants should include #Pfizer #Moderna the other #COVID19 #vaccine manufacturers…
2023-03-06 14:57:52+00:00,Jei157,,RT @RenzTom: This is critical. We need Nuremberg2 NOW. Defendants should include #Pfizer #Moderna the other #COVID19 #vaccine manufacturers…
2023-03-06 14:57:43+00:00,club_ed8,,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-06 14:57:38+00:00,Maryduff1964,,"RT @barnes_law: Pfizer vaccine contract required they deliver a safe, effective vaccine ""for the prevention of Covid19"". Contract required…"
2023-03-06 14:57:04+00:00,Alscag,,RT @RenzTom: This is critical. We need Nuremberg2 NOW. Defendants should include #Pfizer #Moderna the other #COVID19 #vaccine manufacturers…
2023-03-06 14:54:30+00:00,DanielC22058,,RT @RenzTom: This is critical. We need Nuremberg2 NOW. Defendants should include #Pfizer #Moderna the other #COVID19 #vaccine manufacturers…
2023-03-06 14:54:15+00:00,jwarrenreincarn,,RT @RenzTom: This is critical. We need Nuremberg2 NOW. Defendants should include #Pfizer #Moderna the other #COVID19 #vaccine manufacturers…
2023-03-06 14:52:45+00:00,Mgi322,,RT @BrianOSheaSPI: “A worldwide Bayesian causal Impact analysis suggests that COVID-19 gene therapy (mRNA vaccine) causes more COVID-19 cas…
2023-03-06 14:48:13+00:00,NaniLoa1979,,"RT @real_GGoswami: In this e-mail chain, Dept. reached out to .@facebook flagging a Facebook group where members shared their #COVID19 vacc…"
2023-03-06 14:46:39+00:00,DareDev44473176,,"RT @DareDev44473176: 📌#Rochester | #Newyork
Half Parody.
English scientist who created English COVID19 Vaccine to enslave the world found m…"
2023-03-06 14:46:37+00:00,DareDev44473176,,"📌#Rochester | #Newyork
Half Parody.
English scientist who created English COVID19 Vaccine to enslave the world foun… https://t.co/v5Gw32rgAY"
2023-03-06 14:46:29+00:00,StellaMillburn,,"RT @VisionViewTV_: Are Covid19 Vaccines causing harm or good? On this edition of The Tim Modise Connection Twitter Space,@DrAseemMalhotra ,…"
2023-03-06 14:46:26+00:00,MokumLaLaine,Nederland,"RT @barnes_law: Pfizer vaccine contract required they deliver a safe, effective vaccine ""for the prevention of Covid19"". Contract required…"
2023-03-06 14:45:18+00:00,XgYnx10,In the Coop ,"RT @real_GGoswami: [Src]:-
FOI 3953 - https://t.co/6iA8jMZBk4

COVID-19 vaccine weekly safety report 27-05-2021:-
https://t.co/j6axC9O38q…"
2023-03-06 14:45:06+00:00,DawnMar45106526,,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-06 14:45:00+00:00,FalliveneEdward,,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-06 14:44:50+00:00,MaleckiAndy,,RT @RenzTom: This is critical. We need Nuremberg2 NOW. Defendants should include #Pfizer #Moderna the other #COVID19 #vaccine manufacturers…
2023-03-06 14:42:54+00:00,stuart038,Pattaya,The Covid19 mnra 'vaccine' was a data gathering excersize as was the SARS virus before it. https://t.co/3rgtWKCnYv
